INLINE NewDeathQuoteTable,Character,##UNKNOWN##,Chapter,Event ID,##UNKNOWN##,Text ID,Event Pointer
0x0,0x92,0xff00,0xff,0x7,0x0,0x0,0x0
0x1,0x93,0xff00,0xff,0x8,0x0,0x0,0x0
0x2,0x94,0xff00,0xff,0x9,0x0,0x0,0x0
0x3,Bazba,0xff00,3,0x2,0x0,JenkinsDeath,0x0
0x4,0x95,0xff00,0xff,0xa,0x0,0x0,0x0
0x5,Celica,0xff00,22,0x2,0x0,BossCelicaDeath,0x0
0x6,Saar,0xff00,6,0x2,0x0,SaaraDeath,0x0
0x7,Zonta,0xff00,7,0x2,0x0,ZontaDeath,0x0
0x8,Breguet,0xff00,1,0x65,0x0,0x0,0x0
0x9,0x43,0xff00,15,0x2,0x0,GritDeath,0x0
0xa,0x44,0xff00,24,0x2,0x0,WendyDeath,0x0
0xb,0x4B,0xff00,23,0x2,0x0,MrBonesDeath,0x0
0xc,Murray,0xff00,8,0x2,0x0,MurrayDeath,0x0
0xd,Tirado,0xff00,9,0x2,0x0,TiradoDeath,0x0
0xe,0x4E,0xff00,10,0x2,0x0,SelenaDeath,0x0
0xf,Gheb,0xff00,12,0x10,0x0,GhebDeath,0x0
0x10,Macdaire,0xff00,12,0x11,0x0,BeranDeath,0x0
0x11,0x4F,0xff00,11,0x2,0x0,PabloDeath,0x0
0x12,0x6D,0xff00,16,0x2,0x0,OrsonDeath,0x0
0x13,Meriah,0xff00,19,0x2,0x0,MeriahDeath,0x0
0x14,Aias,0xff00,13,0x2,0x0,AiasDeath,0x0
0x15,0x54,0xff00,13,0x0,0x0,Pablo2Death,0x0
0x16,0x40,0xff00,17,0x2,0x0,LyonDeath,0x0
0x17,Carlyle,0xff00,14,0x2,0x0,CarlyleDeath,0x0
0x18,Vigarde,0xff00,18,0x2,0x0,VigardeDeath,0x0
0x19,Plum,0xff00,20,0x0,0x0,PlumDeath,0x0
0x1a,Yuni,0xff00,20,0x0,0x0,YuniDeath,0x0
0x1b,Lyria,0xff00,20,0x0,0x0,LyriaDeath,0x0
0x1c,0x6E,0xff00,20,0x2,0x0,MaedaDeath,0x0
0x1d,0xC5,0xff00,21,0x2,0x0,TataraDeath,0x0
0x1e,0xCA,0xff00,0x3E,0x2,0x0,BananaDeath,0x0
0x1f,0x53,0xff00,25,0x2,0x0,CaellachDeath,0x0
0x20,0x42,0xff00,26,0x2,0x0,Orson2Death,0x0
0x21,0x41,0xff00,27,0x2,0x0,MorvaDeath,0x0
0x22,0x6C,0xff00,0x22,0x2,0x0,Lyon2Death,0x0
0x23,Kaga,0xff00,19,0x65,0x0,KagaDeath,0x0
0x24,0x68,0xff00,0,0x2,0x0,ONeillDeath,0x0
0x25,Tana,0xff00,0xff,0x7,0x0,0x0,0x0
0x26,Mansel,0xff00,0xff,0x65,0x0,0x0,0x0
0x27,0x47,0xff00,2,0x2,0x0,BoneDeath,0x0
0x28,Mark,0xff00,0xff,0x0,0x0,MarkDeath,0x0
0x29,Riev,0xff00,0xff,0x0,0x0,0x0,0x0
0x2a,Ch21Boss,0xff00,0xff,0x2,0x0,0x0,0x0
0x2b,Lyon_Final,0xff00,0xff,0x2,0x0,0x0,0x0
0x2c,Fomortiis,0xff00,0xff,0x2,0x0,FeditorDeath,0x0
0x2d,Fomortiis,0xff00,0xff,0x2,0x0,FeditorDeath,0x0
0x2e,Void,0xff00,0xff,0x65,0x0,VoidDeath,0x0
CH29,Tim,0xff00,0x22,0xf,0x0,TimDeath,0x0
0x30,Tam,0xff00,0x22,0xf,0x0,TamDeath,0x0
0x31,Jerome,0xff00,0x22,0xf,0x0,JeromeDeath,0x0
0x32,Leeroy,0xff00,0x22,0xf,0x0,LeeroyDeath,0x0
0x33,Anna,0xff00,0x22,0xf,0x0,Anna1Death,0x0
0x34,Bede,0xff00,0x22,0xf,0x0,BedeDeath,0x0
0x35,Jay,0xff00,0x22,0xf,0x0,JayDeath,0x0
0x36,NotArch,0xff00,0x22,0xf,0x0,NotArchDeath,0x0
0x37,Kirsten,0xff00,0x22,0xf,0x0,KirstenDeath,0x0
0x38,Bob,0xff00,0x22,0xf,0x0,BobDeath,0x0
0x39,Roshea,0xff00,0x22,0xf,0x0,RosheDeath,0x0
0x3a,Prine,0xff00,0x22,0xf,0x0,PrineDeath,0x0
0x3b,Edge,0xff00,0x22,0xf,0x0,EdgeDeath,0x0
0x3c,Samson,0xff00,0x22,0xf,0x0,SamsonDeath,0x0
0x3d,Arve,0xff00,0x22,0xf,0x0,ArveDeath,0x0
0x3e,Tye,0xff00,0x22,0xf,0x0,TyeDeath,0x0
0x3f,Celicia,0xff00,0x22,0xf,0x0,CeliciaDeath,0x0
0x40,Eevster,0xff00,0x22,0xf,0x0,EevsterDeath,0x0
0x41,AnnaWyv,0xff00,0x22,0xf,0x0,Anna2Death,0x0
0x42,Nikita,0xff00,0x22,0xf,0x0,NikitaDeath,0x0
0x43,AnnaRogue,0xff00,0x22,0xf,0x0,Anna3Death,0x0
0x44,Edgeworth,0xff00,0x22,0xf,0x0,EdgeworthDeath,0x0
0x45,Zigludo,0xff00,0x22,0xf,0x0,SigurdDeath,0x0
0x46,Kaga,0xff00,0x22,0xf,0x0,KagaDeath,0x0
0x47,Doot,0xff00,0x22,0xf,0x0,DyuteDeath,0x0
0x48,Celica,0xff00,0x22,0xf,0x0,CelicaDeath,0x0
0x49,Doowile,0xff00,0x22,0xf,0x0,DoowileDeath,0x0
0x4a,EvilFlorina,0xff00,0x22,0xf,0x0,FlorinaDeath,0x0
0x4b,Bjoern,0xff00,0x22,0xf,0x0,BjornDeath,0x0
0x4c,Jake,0xff00,0x22,0xf,0x0,JakeDeath,0x0
0x4d,Marf,0xff00,0x22,0xf,0x0,MarthDeath,0x0
0x4e,Tiki,0xff00,0x22,0xf,0x0,ChikiDeath,0x0
NORMAL,Tim,0xff00,0xff,0x0,0x0,TimDeath,0x0
0x30,Tam,0xff00,0xff,0x0,0x0,TamDeath,0x0
0x31,Jerome,0xff00,0xff,0x0,0x0,JeromeDeath,0x0
0x32,Leeroy,0xff00,0xff,0x0,0x0,LeeroyDeath,0x0
0x33,Anna,0xff00,0xff,0x0,0x0,Anna1Death,0x0
0x34,Bede,0xff00,0xff,0x0,0x0,BedeDeath,0x0
0x35,Jay,0xff00,0xff,0x0,0x0,JayDeath,0x0
0x36,NotArch,0xff00,0xff,0x0,0x0,NotArchDeath,0x0
0x37,Kirsten,0xff00,0xff,0x0,0x0,KirstenDeath,0x0
0x38,Bob,0xff00,0xff,0x0,0x0,BobDeath,0x0
0x39,Roshea,0xff00,0xff,0x0,0x0,RosheDeath,0x0
0x3a,Prine,0xff00,0xff,0x0,0x0,PrineDeath,0x0
0x3b,Edge,0xff00,0xff,0x0,0x0,EdgeDeath,0x0
0x3c,Samson,0xff00,0xff,0x0,0x0,SamsonDeath,0x0
0x3d,Arve,0xff00,0xff,0x0,0x0,ArveDeath,0x0
0x3e,Tye,0xff00,0xff,0x0,0x0,TyeDeath,0x0
0x3f,Celicia,0xff00,0xff,0x0,0x0,CeliciaDeath,0x0
0x40,Eevster,0xff00,0xff,0x0,0x0,EevsterDeath,0x0
0x41,AnnaWyv,0xff00,0xff,0x0,0x0,Anna2Death,0x0
0x42,Nikita,0xff00,0xff,0x0,0x0,NikitaDeath,0x0
0x43,AnnaRogue,0xff00,0xff,0x0,0x0,Anna3Death,0x0
0x44,Edgeworth,0xff00,0xff,0x0,0x0,EdgeworthDeath,0x0
0x45,Zigludo,0xff00,0xff,0x0,0x0,SigurdDeath,0x0
0x46,Kaga,0xff00,0xff,0x0,0x0,KagaDeath,0x0
0x47,Doot,0xff00,0xff,0x0,0x0,DyuteDeath,0x0
0x48,Celica,0xff00,0xff,0x0,0x0,CelicaDeath,0x0
0x49,Doowile,0xff00,0xff,0x0,0x0,DoowileDeath,0x0
0x4a,EvilFlorina,0xff00,0xff,0x0,0x0,FlorinaDeath,0x0
0x4b,Bjoern,0xff00,0xff,0x0,0x0,BjornDeath,0x0
0x4c,Jake,0xff00,0xff,0x0,0x0,JakeDeath,0x0
0x4d,Marf,0xff00,0xff,0x0,0x0,MarthDeath,0x0
0x4e,Tiki,0xff00,0xff,0x0,0x0,ChikiDeath,0x0
